,Kode MK,MK,CPL,Kode BK,BK,Kode CPMK,CPMK,Kode SubCPMK,SubCPMK,MetodePembelajaran,Bentuk Pembelajaran,Bentuk Penilaian,Kriteria Penilaian,Materi Pembelajaran,SubCPMK Lama,Materi Pembelajaran Lama,Deskripsi
"Elok Nur Hamdana,ST.,MT",MK009,Fisika,CPL09        Memiliki pemahaman yang memadai terkait cara kerja sistem komputer dan berbagai teknik/pendekatan berbasis komputasi untuk memecahkan masalah  stakeholder,"BK20
BK21","Computational Science
Discrete Structures",CPMK902,"Mahasiswa mampu menguasai prinsip matematika, ilmu alam dan struktur diskrit serta menerapkan pendekatan komputasional sebagai dasar analisis terhadap permasalahan.",SCPMK902-00601,"Mahasiswa mampu menerapkan konsep diskrit, logika, himpunan, dan fungsi matematika dasar dalam sistem informasi.
Mahasiswa mampu mengidentifikasi, menganalisis fakta dan opini, serta menyusun solusi sistematis terhadap masalah teknis.",Contextual Instruction (CI),"Ceramah, Diskusi studi kasus, Latihan analisis","Tes Tulis (UTS), Tes Tulis (UAS), Quiz",Ketepatan dalam menyelesaikan soal studi kasus yang diberikan di tiap pertemuan,"1. Hakikat dan Ruang Lingkup Fisika
2. Pengantar Ilmu Sains & Metode Ilmiah
3. Pengukuran dan Satuan
4. Kinematika Gerak Lurus dan 2 Dimensi
5. Dinamika Partikel
6. Usaha dan Energi
7. Impuls dan momentum
8. Medan listrik dan gaya Coulomb
9. Potensial listrik
10. Kapasitansi dan energi dalam medan listrik
11. Arus listrik dan analisis rangkaian listrik DC","2.1.1.1 SUBCPMK1
Mahasiswa mampu menerapkan konsep diskrit, logika, himpunan, dan fungsi matematika dasar dalam sistem informasi.
2.2.1.1 SUBCPMK1
Mahasiswa mampu mengidentifikasi, menganalisis fakta dan opini, serta menyusun solusi sistematis terhadap masalah teknis.","1. Hakikat dan Ruang Lingkup Fisika
2. Pengantar Ilmu Sains & Metode Ilmiah
3. Pengukuran dan Satuan
4. Kinematika Gerak Lurus dan 2 Dimensi
5. Dinamika Partikel
6. Usaha dan Energi
7. Impuls dan momentum
8. Medan listrik dan gaya Coulomb
9. Potensial listrik
10. Kapasitansi dan energi dalam medan listrik
11. Arus listrik dan analisis rangkaian listrik DC","Mata kuliah ini memberikan pemahaman dasar mengenai konsep-konsep fisika klasik yang relevan dengan bidang teknik informatika. Topik meliputi mekanika, dinamika, energi, dan gelombang, dengan integrasi kasus-kasus dalam sistem komputer, Internet of Things, dan pemrosesan sinyal digital.
"
"Astrifidha Rahma Amalia,S.Pd., M.Pd.",MK010,Agama,"(CPL01) Menginternalisasi ketakwaan kepada Tuhan Yang Maha Esa, menaati hukum, disiplin, dan menunjukkan profesionalisme melalui etika profesi, pembelajaran sepanjang hayat, serta respons terhadap isu sosial dan teknologi.
",BK30,Pengembangan Diri,CPMK102,"Mampu menginternalisasi nilai ketakwaan kepada Tuhan YME, Pancasila, kewarganegaraan, dan menunjukkan pembelajaran sepanjang hayat melalui disiplin diri, tanggung jawab sosial, dan adaptasi karir profesional",SCPMK102-01001,"Mahasiswa mampu menganalisis hakikat penciptaan manusia melalui pemahaman konsep agama dan Tauhid untuk membentuk karakter yang jujur, disiplin, dan bertakwa dalam interaksi akademik maupun sosial",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Presentasi/ Diskusi Tanya Jawab Studi Kasus, Ceramah","Unjuk Kerja (Presentasi), Quiz, Tes Tulis (UTS)","Ketepatan analisis konsep Tauhid dan konsistensi penerapan nilai kejujuran, disiplin, dan takwa dalam interaksi akademik/sosial","1. Manusia Dan Agama
2. Konsep Tauhid
3. Konsep Manusia
4. Ekologi
5. Akhlak
6. Iptek
7. Etos Kerja
8. Ekonomi Syariah
9. Masyarakat Islam

",,"1. PENDAHULUAN:
•  Visi Pendidikan Agama
•  Deskripsi Mata Kuliah 
•  Pendekatan Kuliah
• Tata Tertib Perkuliahan 
• Sistem Penilaian
2. MANUSIA DAN AGAMA
•Konsep Agama dan Islam
•Agama Kebutuhan Manusia
•Dimensi Ajaran Islam
•Metode Memahami Islam
•Misi Agama Islam
•Masa Depan Agama
3. KONSEP TAUHID 
•Tauhid Kebutuhan Manusia
•Problem Manusia: Syirik        
•Dampak Taukhid
4. KONSEP MANUSIA 
•Manusia Dalam pandangan Islam        
•Fungsi dan Tugas hidup manusia
•Hakikat Kehidupan Dunia dan Akherat
5.WAWASAN EKOLOGI DALAM ISLAM
•Hakekat Alam Semesta Dalam Islam
•Arti Dan Dan Sifat Sunnatullah
•Manfaat Alam Semesta
•Islam dan wawasan lingkungan
6. AKTUALISASI AKHLAK 
•Makna Perjuangan Rasul¬
•Aktualisasi Misi Rasul
•Aplikasi Sifat-Sifat Rasul – dalam ilmu teknologi
•Ibadah dan pembentukan akhlak
7. IPTEKS
•Hakikat Ilmu Dalam Islam
•Paradigma Iptek
•Sumber Ilmu Pengetahuan
•Aplikasi Pola Dzikir Dan Pikir
8.ETOS KERJA
•Etos Kerja Dalam, Islam 
•Motifasi Kerja Dalam Islam
•Aktualisasi Jihad Dalam Pembangunan
9.  EKONOMI
•Pengertian, Prinsip dan Etika Ekonomi Syariah
•Pemberdayaan umat melalui Ekonomi Syari’ah
•Kapita Selecta: Manajemen Zakat, Waqaf, infak dan sedekah
10. MASYARAKAT ISLAM
•Fungsi Keluarga Dalam Islam
•Proses Pembentukan Keluarga Sakinah (Nikah)
•Masjid sebagai pusat peradaban

","Mata kuliah ini merupakan mata kuliah wajib yang termasuk dalam mata kuliah umum (MKU) di Perguruan Tinggi. Dimana mata kuliah tersebut terdiri dari beberapa kajian sebagai berikut: Pendahuluan, Konsep Manusia dan Agama, Konsep Tauhid, Manusia dalam Islam, Wawasan ekologi dalam Islam, Aktualisasi Akhlak, IPTEKS dalam Islam, Pandangan Islam tentang Etos Kerja, Konsep Ekonomi Syariah, dan Pembentukan Masyarakat Islam melalui pengenalan hakikat keluarga dan fungsi masjid serta Islam dan Tantangan Radikalisme. Kuliah diselenggarakan secara luring/ offline dan daring/ online sesuai dengan instruksi dari Perguruan Tinggi terkait. 
Mahasiswa diajak untuk memahami ajaran-ajaran Islam yang sesuai dengan dua pedoman utama yakni Al Qur’an dan Hadis yang dihubungkan dengan kehidupan nyata di era sekarang. Berbagai permasalahan dalam hidup yang dihadapi oleh setiap manusia menjadikannya harus memiliki bekal dalam menghadapinya. PAI diharapkan mampu memberikan pegangan dalam membentuk karakter yang baik. hal ini menyentuh kehidupannya secara individu maupun sosialnya.
"
,,,,,,,,SCPMK102-01002,Mahasiswa mampu mengevaluasi persoalan lingkungan dan perkembangan ilmu pengetahuan melalui aktualisasi akhlak Islam sebagai bentuk tanggung jawab sosial dan pengambilan keputusan etis di lingkungan kampus,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Presentasi/ Diskusi Tanya Jawab Studi Kasus, Ceramah, Role Play","Quiz, Tes Tulis (UAS)",Ketepatan evaluasi isu lingkungan dan iptek serta konsistensi aktualisasi akhlak dalam pengambilan keputusan etis,"Ekologi, Akhlak, dan Iptek dalam perspektif Islam sebagai dasar tanggung jawab sosial",,,
,,,,,,,,SCPMK102-01003,Mahasiswa mampu memproyeksikan strategi adaptasi karir yang profesional dengan mengintegrasikan etos kerja dan prinsip ekonomi syariah di tengah dinamika masyarakat Islam sebagai wujud pembelajaran sepanjang hayat.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Presentasi/ Diskusi Tanya Jawab Studi Kasus, Ceramah","Unjuk Kerja (Presentasi), Tes Tulis (UAS)",Ketepatan integrasi etos kerja dan prinsip ekonomi syariah dalam strategi adaptasi karir profesional,"Etos Kerja, Ekonomi Syariah, dan Masyarakat Islam sebagai landasan adaptasi karir profesional",,,
"Muhammad Afif Hendrawan., S.Kom., M.T.",MK011,Aljabar Linier,CPL09        Memiliki pemahaman yang memadai terkait cara kerja sistem komputer dan berbagai teknik/pendekatan berbasis komputasi untuk memecahkan masalah  stakeholder,"BK20
BK21","Computational Science
Discrete Structures",CPMK902,"Mahasiswa mampu menguasai prinsip matematika, ilmu alam dan struktur diskrit serta menerapkan pendekatan komputasional sebagai dasar analisis terhadap permasalahan.",SCPMK902-01101,"Mahasiswa mampu menyelesaikan sistem persamaan linier menggunakan metode eliminasi dan representasi matriks, serta memvalidasi hasil secara komputasional",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Cerama, Diskusi Studi Kasus, Latihan Penyesaian Permasalahan","- Tugas (25%)
- Kuis 1 (100%)
- UTS (40%)
- UAS (20%)","- Dapat menyusun augmented matriks dari SPL
- Dapat melakukan proses eliminasi dengan menggunakan REF dan RREF
- Dapat menyelesaikan permasalahan SPL dengan metode Gauss/Gauss-Jordan","- Pengantar dan Permodelan Sistem Persamaan Linier
- Operasi Baris Elementer dan Metode Eliminasi Gauss
- Metode Eliminasi Gauss-Jordan dan Reduced Row Echelon Form (RREF)","Mahasiswa mampu menerapkan Konsep Himpunan, Relasi, Fungsi, Matriks dan Penyelesaian Sistem Persamaan (Linier dan Non-Linier)","- Menyelesaikan sistem persamaan linier dengan menggunakan metode Gauss dan Gauss Jordan
- Memahami operasi perhitungan pada matriks
- Menghitung invers dan transpos matriks
- Menghitung determinan matriks dengan menggunakan metode Expansi Kofaktor (Expansi Laplace)
- Menghitung determinan matriks dengan menggunakan metode Sarrus
- Menyelesaikan sistem persamaan linier dengan menggunakan metode aturan Cramer
- Memahami operasi perhitungan vektor pada bidang 2 dan 3 dimensi
- Perbedaan cross product dan dot product pada vektor
- Menghitung Eigenvalue dan Eigenvektor
- Proyeksi orthogonal pada vector",
,,,,,,,,SCPMK902-01102,"Mahasiswa mampu menerapkan operasi matriks (invers, transpose, determinan) untuk menyelesaikan permasalahan",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Cerama, Diskusi Studi Kasus, Latihan Penyesaian Permasalahan","- Tugas (50%)
- UTS (60%)
- Kuis 2 (20%)
- UAS (50%)","- Dapat melakukan operasi matriks
- Dapat melakukan inversi matriks dengan determinan dasar
- Dapat mencari determinan dengan menggunakan aturan Sarrus dan Cramer
- Dapat menerapkan aturan Sarrus / Crammer pada permasalahan SPL","- Operasi Matriks
- Invers Matriks dan Aplikasinya Pada Sistem Persamaan Linier
- Determinan
- Operasi Determinan dengan Kofaktor
- Aturan Cramer","Mahasiswa mampu menyelesaikan persoalan matematis secara mandiri dengan tanggung jawab serta memperhatikan nilai, norma, dan etika akademik",,
,,,,,,,,SCPMK902-01103,Mahasiswa mampu menerapkan konsep vektor dan ruang vektor untuk interpretasi geometri dan komputasi dasar pada konteks informatika,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Cerama, Diskusi Studi Kasus, Latihan Penyesaian Permasalahan","- Tugas (25%)
- Kuis 2 (80%)
- UAS (25%)","- Dapat melakukan operasi dot dan produk pada vektor
- Dapat melakukan perhitungan proyeksi ortogonal
- Dapat melakukan perhitungan eigenvalue dan eigenvektor
- Dapat menggunakan konsep ortogonal, eigenvalue, dan eigenvektor dalam penyelesaian masalah nyata","- Vektor dan Dot Product
- Proyeksi Ortogonal
- Eigenvalue dan Eigenvektor",,,
"Habibie Ed Dien, S.Kom., M.T.
Anugrah Nur Rahmanto, S.Sn., M.Ds.",MK012,Desain Antarmuka,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan Ilmu Komputer/Informatika dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder","BK04
BK22","User Experience Design
Human-Computer Interaction",CPMK202,Mampu menerapkan prinsip dan metode User Experience (UX) Design untuk merancang prototipe antarmuka aplikasi multi-platform yang interaktif,"SCPMK202-01201
","Mahasiswa mampu membuat wireframe dan prototipe antarmuka menggunakan tools desain UI secara sistematis dan konsisten.

",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, demonstrasi tools desain, praktikum studi kasus","Observasi (Praktik/ Tugas), Unjuk Kerja (Presentasi)",Ketepatan dan konsistensi wireframe/prototipe yang dihasilkan menggunakan tools desain UI,"Pengantar UI/UX, user persona, user journey mapping, user flow, wireframing, low-high fidelity prototyping",,"• Pengantar UI UX
• User Persona
• User Journey Mapping
• User Flow
• Wireframing
• Low Fidelity
• High Fidelity
• Color Theory
• F Pattern
• Z Pattern
• Porximity
• Common Region
• User Profiling
• Hick’s Law
• Fitts’s Law
• A/B Testing
• Prototyping
• UI UX Audit","Mata kuliah Perancangan Antar Muka merupakan matakuliah yang memberikan pengetahuan tentang user experience dan user interface.
Bagaimana cara membuat desain bukan hanya bagus dan enak di lihat, tetapi bagaimana membuat desain yang cocok bagi user dan nyaman digunakan berlama-lama saat menggunakan website tersebut."
,,,,,,,,SCPMK202-01202,"Mahasiswa mampu menerapkan prinsip usability, accessibility, dan desain visual dalam perancangan antarmuka pengguna.",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, praktikum, diskusi evaluasi desain","Observasi (Praktik/ Tugas), Unjuk Kerja (Presentasi)","Ketepatan penerapan prinsip usability, accessibility, dan desain visual pada antarmuka yang dirancang","Color theory, F-pattern, Z-pattern, proximity, common region, Hick's law, Fitts's law dalam desain visual antarmuka",,,
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder","BK04
BK22","User Experience Design
Human-Computer Interaction",CPMK601,Mampu merancang dan menjamin mutu pengalaman pengguna (UX) melalui pembuatan prototipe yang menjawab permasalahan interaksi pengguna,SCPMK601-01201,Mahasiswa mampu melakukan evaluasi dan perbaikan prototipe berdasarkan uji coba pengguna (usability testing) dan umpan balik yang diperoleh.,Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"Praktikum, presentasi hasil uji coba pengguna","Unjuk Kerja (Presentasi), Observasi (Praktik/ Tugas)",Ketepatan evaluasi hasil usability testing dan kualitas perbaikan prototipe berdasarkan umpan balik,"A/B testing, prototyping, dan UI/UX audit sebagai dasar evaluasi dan perbaikan prototipe",,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,"(CPL08)
Mampu mengelola proyek teknologi informasi secara profesional dengan mengoptimalkan sumber daya yang tersedia


","BK10
BK22
BK24
BK25
BK28
BK29","Software Design
Human Computer Interaction
Software Development Fundamentals
Software Process
Software Quality, Verification & Design
Software Modeling and Analysis",CPMK802,"Mampu mengelola proses rekayasa perangkat lunak dan desain antarmuka (UI/UX) dalam siklus hidup proyek, termasuk penerapan metodologi pengembangan dan prinsip penjaminan mutu (SQA) untuk menghasilkan produk yang berkualitas dan berpusat pada pengguna.","SCPMK802-01201
","Mahasiswa mampu menganalisis kebutuhan dan permasalahan pengguna melalui teknik user research sederhana (persona, user journey, skenario penggunaan).",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, diskusi studi kasus user research","Tugas, Unjuk Kerja (Presentasi)","Ketepatan analisis kebutuhan pengguna melalui user persona, user journey, dan skenario penggunaan","User persona, user journey mapping, dan skenario penggunaan sebagai teknik user research",,,
,,,,,,,,SCPMK802-01202,Mahasiswa mampu merancang struktur dan alur antarmuka (information architecture & user flow) yang sesuai dengan kebutuhan dan tujuan pengguna.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, praktikum perancangan struktur antarmuka","Tugas, Unjuk Kerja (Presentasi)",Ketepatan dan konsistensi struktur information architecture dan user flow terhadap kebutuhan pengguna,User flow dan information architecture dalam perancangan struktur antarmuka,,,
"Dian Hanifudin Subhi, S.Kom., M.Kom.
 
 	
Meyti Eka Apriyani ST., MT.",MK013,Sistem Operasi,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan Ilmu Komputer/Informatika dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder",BK11,Operating System,CPMK206,"Mampu menganalisis karakteristik dan kebutuhan sumber daya dari aplikasi multi-platform, lalu merancang strategi manajemen sumber daya sistem (seperti memori, proses, I/O, dan jaringan) yang optimal dengan mempertimbangkan arsitektur dan mekanisme sistem operasi",,,Bermain Peran dan Simulasi (Role-Play And Simulation),,"Observasi (Praktik/ Tugas), Tes Tulis (UTS), Unjuk Kerja (Presentasi)",,,,"1.        Pengenalan Sistem Sistem Operasi & Instalasinya
2.        Manajemen Perangkat Keras & Perintah Dasar Sistem Operasi
3.        Dasar Input/Output
4.        Struktur Direktori & Operasi File
5.        Manajemen Proses
6.        Bash Shell
7.        Shell Programming
8.        Manajemen Memory & System Call
9.        Manajemen FIle & User/Group
10.        Manajemen Servis
11.        Manajemen Aplikasi

",Setelah mengikuti kuliah ini diharapkan mahasiswa menguasai instalasi sistem operasi dan administrasi sistem operasi
,,,CPL09        Memiliki pemahaman yang memadai terkait cara kerja sistem komputer dan berbagai teknik/pendekatan berbasis komputasi untuk memecahkan masalah  stakeholder,BK16,Architecture and Organization,CPMK901,Mahasiswa mampu menjelaskan dan menganalisis cara kerja sistem komputer beserta komponen utamanya.,,,Bermain Peran dan Simulasi (Role-Play And Simulation),,,,,,,
,,,"(CPL05) Mampu menerapkan solusi teknologi komputasi dan infrastruktur digital dengan mempertimbangkan berbagai teknik/pendekatan yang sesuai dengan kebutuhan.







","BK05
BK11
BK16","Security Issues and Principles
Operating System
Architecture and Organization",CPMK502,"Mampu mengidentifikasi, menganalisis, dan menerapkan prinsip serta teknik keamanan untuk menangani isu-isu kerentanan pada sistem operasi, jaringan, dan lingkungan cloud.",,,Diskusi Kelompok (Small Group Discussion) ,,,,,,,
,,,,,,,,,,Demonstrasi & Tutorial Terpandu,,,,,,,
,,,,,,,,,,Pembelajaran Kolaboratif (Collaborative Learning/CL),,,,,,,
"Eka Larasati Amalia,. S.ST.,MT
",MK014,Rekayasa Perangkat Lunak,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan Ilmu Komputer/Informatika dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder",BK10,Software Design,CPMK205,"Mampu menerapkan prinsip dan pola desain perangkat lunak untuk membuat blueprint arsitektural dan komponen solusi aplikasi multi-platform yang modular, dapat dipelihara (maintainable), dan dapat diperluas (scalable)",SCPMK205-05001,"Mampu merealisasikan blueprint menjadi komponen aplikasi yang modular, maintainable, dan sesuai standar kode.



",Contextual Instruction (CI),"Ceramah, Diskusi studi kasus, Latihan analisis",Partisipasi,"Kode berjalan tanpa error, rapi (clean code), dan modular.",Implementasi (Construction/Coding),"7.1.1.1 SUBCPMK1 Mahasiswa mampu menguasai konsep rekayasa perangkat lunak, software development life cycle (SDLC), UML dan dasar pengujian (testing) pada pengembangan perangkat lunak (produk TIK)

7.1.1.2 SUBCPMK2 Mahasiswa mampu mengoperasikan piranti pendukung untuk pengembangan perangkat lunak","1. Pengantar RPL
2. Model Pengembangan Perangkat Lunak (Waterfall)
3. Model Pengembangan Perangkat Lunak (Spiral)
4. Model Pengembangan Perangkat Lunak (RUP)
5. Pengantar Model Pengembangan Perangkat Lunak Agile
6. Model Pengembangan Perangkat Lunak Agile (Scrum)
7. Model Pengembangan Perangkat Lunak Agile (Kanban)
8. Kebutuhan Perangkat Lunak
9. Desain Perangkat Lunak
10. Arsitektur Perangkat Lunak
11. Implementasi
12. Testing
13. Evolusi Perangkat Lunak


","Mata kuliah rekayasa perangkat lunak fokus pada pengajaran prinsip dasar dan metodologi pengembangan perangkat lunak. Mahasiswa mempelajari analisis kebutuhan, perancangan, pemrograman, serta pengujian perangkat lunak. Materi juga mencakup berbagai metodologi seperti model air terjun, prototipe, Scrum, dan Kanban. Dalam perkembangan teknologi, mata kuliah ini dapat menyertakan topik inovatif seperti pengembangan perangkat lunak berbasis cloud dan keamanan perangkat lunak. Tujuannya adalah membekali mahasiswa dengan keterampilan yang diperlukan untuk menjadi profesional IT yang mampu merancang, mengembangkan, dan memelihara perangkat lunak sesuai dengan standar."
